exec_time,count
1,1084
2,28448
3,145434
4,82672
5,46513
6,66808
7,62547
8,42741
9,44419
10,36557
11,29841
12,25735
13,21301
14,18578
15,16731
16,15535
17,14565
18,13394
19,12573
20,11966
21,12253
22,13855
23,16247
24,17101
25,17858
26,17633
27,17543
28,13576
29,11715
30,11115
31,12017
32,11888
33,10280
34,9445
35,8631
36,8659
37,8509
38,7924
39,7198
40,6662
41,6745
42,7544
43,6649
44,6640
45,6996
46,6791
47,7595
48,6588
49,6740
50,6949
51,6796
52,7604
53,7112
54,6309
55,6715
56,7581
57,7534
58,6438
59,6386
60,6472
61,6461
62,6671
63,6263
64,5899
65,5712
66,5575
67,5637
68,5271
69,4849
70,4280
71,4760
72,4482
73,4428
74,4532
75,4483
76,4634
77,4715
78,4719
79,4274
80,3769
81,3969
82,3897
83,4053
84,3619
85,3323
86,3793
87,3774
88,3437
89,3489
90,3536
91,3940
92,3549
93,2942
94,3425
95,2822
96,3286
97,3302
98,3026
99,2834
100,2887
101,3127
102,2904
103,2866
104,2838
105,2487
106,2904
107,2858
108,2479
109,2609
110,2666
111,2550
112,2456
113,2497
114,2581
115,2269
116,2394
117,2361
118,2265
119,2043
120,2166
121,2571
122,2433
123,2142
124,2077
125,2100
126,2202
127,2156
128,2013
129,2008
130,1924
131,2160
132,2128
133,1803
134,1778
135,1875
136,1814
137,2099
138,1829
139,1808
140,1713
141,1948
142,2118
143,1730
144,1677
145,1668
146,1969
147,1983
148,1600
149,1435
150,1428
151,1790
152,1703
153,1704
154,1545
155,1391
156,1559
157,1789
158,1441
159,1497
160,1406
161,1758
162,1847
163,1515
164,1358
165,1208
166,1384
167,1513
168,1315
169,1468
170,1396
171,1450
172,1671
173,1424
174,1512
175,1194
176,1541
177,1663
178,1383
179,1316
180,1193
181,1268
182,1593
183,1160
184,1324
185,1273
186,1255
187,1313
188,1261
189,1098
190,1070
191,1230
192,1451
193,1292
194,1264
195,1132
196,1245
197,1588
198,1220
199,1109
200,1166
201,1129
202,1429
203,1117
204,1073
205,1051
206,1252
207,1413
208,1144
209,1230
210,1140
211,1264
212,1580
213,1121
214,1101
215,1152
216,1079
217,1150
218,941
219,993
220,977
221,1288
222,1220
223,960
224,943
225,1113
226,1105
227,1221
228,970
229,880
230,965
231,834
232,1026
233,823
234,841
235,877
236,908
237,941
238,985
239,959
240,906
241,949
242,833
243,778
244,854
245,878
246,856
247,902
248,869
249,876
250,859
251,829
252,957
253,781
254,732
255,749
256,718
257,794
258,731
259,793
260,816
261,780
262,818
263,812
264,845
265,739
266,673
267,804
268,751
269,742
270,786
271,895
272,843
273,758
274,703
275,787
276,803
277,836
278,705
279,723
280,695
281,711
282,661
283,648
284,794
285,670
286,664
287,834
288,722
289,662
290,718
291,719
292,735
293,681
294,730
295,707
296,651
