instance_num,count
1.0,1634032
2.0,48540
3.0,27275
4.0,18647
5.0,14439
6.0,9009
7.0,7787
8.0,6469
9.0,6112
10.0,9083
11.0,4127
12.0,3868
13.0,3994
14.0,2802
15.0,3249
16.0,2572
17.0,3026
18.0,2557
19.0,2532
20.0,2956
21.0,2375
22.0,2199
23.0,1973
24.0,1576
25.0,1938
26.0,1459
27.0,1560
28.0,1619
29.0,1904
30.0,2097
31.0,1394
32.0,1119
33.0,1228
34.0,1141
35.0,1225
36.0,1029
37.0,1050
38.0,1020
39.0,1131
40.0,1510
41.0,906
42.0,822
43.0,992
44.0,979
45.0,921
46.0,837
47.0,756
48.0,678
49.0,865
50.0,1215
51.0,843
52.0,598
53.0,626
54.0,592
55.0,715
56.0,777
57.0,787
58.0,918
59.0,829
60.0,770
61.0,619
62.0,567
63.0,761
64.0,922
65.0,867
66.0,670
67.0,600
68.0,605
69.0,683
70.0,886
71.0,647
72.0,682
73.0,744
74.0,548
75.0,560
76.0,409
77.0,414
78.0,328
79.0,464
80.0,680
81.0,527
82.0,367
83.0,400
84.0,372
85.0,411
86.0,287
87.0,355
88.0,257
89.0,329
90.0,279
91.0,486
92.0,326
93.0,374
94.0,254
95.0,362
96.0,445
97.0,304
98.0,345
99.0,361
100.0,3813
101.0,1388
102.0,938
103.0,917
104.0,767
105.0,836
106.0,683
107.0,666
108.0,589
109.0,902
110.0,558
111.0,452
112.0,473
113.0,426
114.0,430
115.0,615
116.0,680
117.0,559
118.0,403
119.0,392
120.0,367
121.0,320
122.0,259
123.0,307
124.0,288
125.0,224
126.0,233
127.0,191
128.0,208
129.0,225
130.0,176
131.0,204
132.0,223
133.0,192
134.0,164
135.0,214
136.0,167
137.0,163
138.0,144
139.0,160
140.0,202
141.0,189
142.0,137
143.0,127
144.0,128
145.0,169
146.0,123
147.0,159
148.0,99
149.0,148
150.0,158
151.0,129
152.0,98
153.0,126
154.0,151
155.0,390
156.0,189
157.0,191
158.0,155
159.0,188
160.0,177
161.0,103
162.0,116
163.0,324
164.0,115
165.0,130
166.0,202
167.0,104
168.0,105
169.0,113
170.0,101
